genotype,time,Nfood,Nplate,Ncontrol,pctOnFood,type,Nanimals
N2,30 minutes,19,32,2,0.358490566,normal,53
N2,30 minutes,33,17,1,0.647058824,normal,51
daf-12; daf-19,30 minutes,4,26,1,0.129032258,mutant,31
N2,30 minutes,85,18,1,0.817307692,normal,104
N2,30 minutes,135,70,2,0.652173913,normal,207
daf-12; daf-19,30 minutes,1,30,1,0.03125,mutant,32
N2,30 minutes,12,1,1,0.857142857,normal,14
N2,30 minutes,28,2,0,0.933333333,normal,30
daf-12; daf-19,30 minutes,0,3,1,0,mutant,4
N2,30 minutes,26,28,1,0.472727273,normal,55
daf-12; daf-19,30 minutes,0,1,0,0,mutant,1
N2,1 and 1/2 hours,15,8,0,0.652173913,normal,23
N2,1 and 1/2 hours,52,8,1,0.852459016,normal,61
daf-12; daf-19,1 and 1/2 hours,3,13,1,0.176470588,mutant,17
N2,1 and 1/2 hours,35,0,1,0.972222222,normal,36
N2,1 and 1/2 hours,41,1,5,0.872340426,normal,47
N2,1 and 1/2 hours,6,3,0,0.666666667,normal,9
daf-12; daf-19,1 and 1/2 hours,56,22,2,0.7,mutant,80
N2,1 and 1/2 hours,57,1,0,0.982758621,normal,58
N2,1 and 1/2 hours,21,1,0,0.954545455,normal,22
daf-12; daf-19,1 and 1/2 hours,12,8,4,0.5,mutant,24
N2,1 and 1/2 hours,135,4,0,0.971223022,normal,139
N2,1 and 1/2 hours,80,3,1,0.952380952,normal,84
daf-12; daf-19,1 and 1/2 hours,13,7,1,0.619047619,mutant,21
N2,1 and 1/2 hours,27,2,1,0.9,normal,30
N2,1 and 1/2 hours,25,6,1,0.78125,normal,32
daf-12; daf-19,1 and 1/2 hours,2,7,0,0.222222222,mutant,9
N2,1 and 1/2 hours,34,4,1,0.871794872,normal,39
N2,1 and 1/2 hours,28,8,0,0.777777778,normal,36
daf-12; daf-19,1 and 1/2 hours,8,6,0,0.571428571,mutant,14
